"","Mission_Name","Organization","Organization_Type","Nation","Sat_Type","Launch_Year","Rocket","Orbit","Mission_Type"
"1166","SUChAI","University of Chile","University","Chile","1U","TBD","-","not launched","Space Technology"
"1167","CXBN 2 (The Cosmic X-Ray Background NanoSat-2)","Morehead State University","University","US","2U","TBD","-","not launched","Space Science"
"1168","HiLITE (High Latitude Ionospheric Thermospheric Experiment)","University of Colorado","University","US","3U","TBD","-","not launched","Space Technology"
"1169","SunewnewSat","Yamouk University","University","Jordan","PocketQube 1p","TBD","-","not launched","Space Technology"
"1170","ALBus (Advanced Electrical Bus)","NASA Glenn Research Center"," ","US","3U","TBD"," "," ","Space Technology"
"1171","DIME (Double-probe Instrumentation for Measuring Electric-fields)","ASTRA (Atmospheric & Space Technology Research Associates)","Company","US","1.5U","TBD","-","-","Space Technology"
"1172","HORYU-3","Kyushu Institute of Technology","University","Japan","3U","TBD","H-2B","not launched","Space Technology"
"1173","Drag-free CubeSat","Standford University NASA Ames","University","US","3U","TBD","-","not launched","Space Technology"
"1174","ZACUBE-2","Cape Peninsula University of Technology","University","South Africa","3U","TBD","-","not launched","Space Technology"
"1175","i-INSPIRE (Inspire2, Integrated Spectrograph Imaging and Radiation Explorer)","University of Sydney","University","Australia","2U","TBD","-","380 km, 98 degree inclination","-"
"1176","TARO","National Cheng Kung University","University","Taiwan","2U","TBD","-","not launched","Space Technology"
"1177","LightSail-C (LightSail-3)","The Planetary Society","Non-profit","US","3U","TBD","not launched","Deep space, Sun-Earth Libration Point, L1","Space Technology"
"1178","KPI-SAU-1","National Technical University of Ukraine, Kiev Polytechnic Institute","University","Ukraine","2U","TBD","TBD","TBD","Space Science"
"1179","DUSTIE (DUst Sounder and Temperature Imager Experiment)","Virginia Tech","University","US","3U","TBD","-","not launched","Space Science"
"1180","InKlajn-1","Israel Institute Of Technology","University","Israel","3U","TBD","-","not launched","Space Technology"
"1181","CAPE (CubeSat Atmospheric Probe for Education)","University of Stuttgart","University","Germany","3U","TBD","-","not launched","Space Technology"
"1182","Dynacube","Denel Dynamics","Company","South Africa","1U","TBD","-","not launched","Space Technology"
"1183","InnoSAT","Astronautic Technology (M) Sdn. Bhd.","Company","Malaysia","3U","TBD","-","not launched","Space Technology"
"1184","TechCube 1","NASA Goddard Space Flight Center","Agency","US","3U","TBD","-","not launched","Space Technology"
"1185","USNA-N1","US Naval Academy Satellite Lab","University","US","1.5U","TBD","not launched","not launched","Space Technology"
"1186","ECOSat-III","University of Victoria","University","Canada","3U","TBD","-","not launched","Space Technology"
"1187","Jugnu-2","Indian Institute of Technology Kanpur","University","India","3U","TBD","-","not launched","-"
"1188","RECONSO","Georgia Tech","University","US","6U","TBD","not launched","not launched","Space Activity"
"1189","EgyCubeSat-1","National Authority for Remote Sensing and Space Sciences","Institute","Egypt","1U","TBD","PSLV","not launched","Space Technology"
"1190","Kalam","National Institute of Technology Rourkela","University","India","10 kg","TBD","-","-","Space Activity"
"1191","iCUBE 2","Islamabad Institute of Science and Technology","Institute","Pakistan","3U","TBD","not launched","not launched","Space Technology"
"1192","ELEOsat","Taylor University","University","US","2U","TBD","-","-","Space Technology"
"1193","TetherSat 1","Naval Postgraduate School","University","US","1.5U","TBD","-","not launched","Space Technology"
"1194","NITESat (Night Imaging & Tracking Experiment Satellite) )","Adler Planetarium","Non-profit","US","2U","TBD","not launched","not launched","Space Activity"
"1195","SeeMe","Raytheon Missile Systems","Company","US","TBD","TBD","TBD","720 x 450 km, 98 degree inclination","Space Technology"
"1196","Flock-2d 8","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1197","ERPSat01","Sfax School of Engineering","University","Tunisia","1U","TBD","-","not launched","Space Technology"
"1198","TetherSat 2","Naval Postgraduate School","University","US","1.5U","TBD","-","not launched","Space Technology"
"1199","Flock-2d 9","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1200","ESTCube-2","University of Tartu","University","Estonia","3U","TBD","-","not launched","Space Technology"
"1201","KLETSkous 1","SA AMSAT","Non-profit","South Africa","1U","TBD","-","not launched","Space Technology"
"1202","Time Capsule to Mars (TC2M)","Explore Mars","Non-profit","US","TBD","TBD","-","Mars","Space Activity"
"1203","Flock-2d 10","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1204","KLETSkous 2","SA AMSAT","Non-profit","South Africa","1U","TBD","-","not launched","Space Technology"
"1205","TINYSCOPE (Tactical Imaging Nanosat Yielding Small-Cost Operations for Persistent Earth-coverage)","Naval Postgraduate School","University","US","6U","TBD","-","not launched","Space Technology"
"1206","AAUSAT6","Aalborg University","University","Denmark","1U","TBD","not launched","not launched","Space Technology"
"1207","Flock-2d 11","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1208","Europa Moon CubeSat","Draper Labs","Company","US","3U","TBD","-","Europa","Space Activity"
"1209","KN-SAT1","University of Khartoum","University","Sudan","1U","TBD","-","not launched","Space Technology"
"1210","Triton-2","ISIS","Company","Netherlands","3U","TBD","-","not launched","Space Technology"
"1211","Flock-2d 12","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1212","LIS-1 (Lunar Imaging Satellite 1)","Kommunity Spaceflight Initiative on Kerbal Space Program","Independent","International","TBD","TBD","-","Moon","Space Activity"
"1213","TSat4","Taylor University","University","US","3U","TBD","-","not launched","-"
"1214","TEMPEST-D (Temporal Experiment for Storms and Tropical Systems - Demonstrator)","Colorado State University","University","US","6U","TBD","TBD","TBD","Space Science"
"1215","Flock-2d 13","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1216","Lagrange-1 CubeSat","Polytechnical University of Torino","University","Italy","6U","TBD","-","not launched","Space Science"
"1217","TwinCube","West Pomeraian University of Technology","University","Poland","3U","TBD","-","not launched","Space Science"
"1218","Flock-2d 14","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1219","LeSTAR (Lessius Satellite for Teaching and Autonomous Research)","Lessius University College","University","Belgium","3U","TBD","-","not launched","Space Activity"
"1220","TwinSat-1N","University College London","University","UK","2U","TBD","-","not launched","Space Technology"
"1221","Flock-2d 15","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1222","CubeSAIL","University of Surrey","University","UK","3U","TBD","PSLV","not launched","Space Technology"
"1223","FIRST-S (Fibered Imager foR a Single Telescope)","Observatoire de Paris","Institute","France","3U","TBD","-","not launched","Space Science"
"1224","Flock-2d 16","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1225","RioSat","Graz Unviersity of Technology","University","Austria","2U","x_cancelled","TBD","TBD","Space Science"
"1226","Simba (Sun-earth IMBAlance)","Royal Meteorological Institute of Belgium","Institute","Belgium","3U","x_cancelled","TBD","TBD","Space Science"
"1227","Aggiesat-1","Texas A&M University","University","US","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1228","Aggiesat-3","Texas A&M University","University","US","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1229","AtmoCube","University of Trieste","University","Italy","1U","x_cancelled","-","not launched","Space Technology"
"1230","Constellation Pathfinder","Boston University","University","US","1 kg","x_cancelled","cancelled","cancelled","Space Technology"
"1231","CSTB-3","Boeing","Company","US","3U","x_cancelled","-","not launched","Space Technology"
"1232","CTAAP (CubeSat To Accept Any Payload )","University of North Dakota","University","US","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1233","Ex-Alta 1 (AlbertaSat-2)","University of Alberta","University","Canada","3U","x_cancelled","-","not launched","-"
"1234","Funsat (Flosat)","University of Central Florida","University","US","1U","x_cancelled","-","not launched","Space Technology"
"1235","czCube","Amateur group","Independent","Czech","1U","x_cancelled","TBD","x_cancelled","Space Technology"
"1236","GSat","University of Florida","University","US","1U","x_cancelled","-","not launched","Space Technology"
"1237","Heidelsat","Heidelberg University of Applied Sciences","University","Germany","1U","x_cancelled","-","not launched","Space Science"
"1238","HORYU-1","Kyushu Institute of Technology","University","Japan","1U","x_cancelled","cancelled","cancelled","-"
"1239","KatySat 1","Stanford University","University","US","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1240","Kumu A'o","University of Hawaii","University","US","1U","x_cancelled","-","not launched","Space Technology"
"1241","LunchSat","Astrium Ltd","Company","UK","3U","x_cancelled","-","not launched","Space Technology"
"1242","Lunette","University of Toronto","University","Canada","6 kg","x_cancelled","cancelled","cancelled","Space Activity"
"1243","MEPSI 3A","DARPA","Military","US","1U","x_cancelled","Shuttle","cancelled","Space Technology"
"1244","MEPSI 3B","DARPA","Military","US","1U","x_cancelled","Shuttle","cancelled","Space Technology"
"1245","MEPSI 4A","DARPA","Military","US","1U","x_cancelled","Atlas-5","cancelled","Space Technology"
"1246","MEPSI 4B","DARPA","Military","US","1U","x_cancelled","Atlas-5","cancelled","Space Technology"
"1247","MiniRomit 1","European Lunar Exploration Association","Company","Denmark","2U","x_cancelled","-","not launched","Space Technology"
"1248","myPocketQub 391","University of Rome","University","Italy","PocketQube","x_cancelled","cancelled","cancelled","Space Technology"
"1249","OPTOS 2G","National Institute of Aerospace Technology","Agency","Spain","3U","x_cancelled","-","not launched","Space Technology"
"1250","PLUME (Picosatellite of Leicester University Micrometeoroid Experiment)","University of Leicester","University","UK","1U","x_cancelled","cancelled","cancelled","-"
"1251","PQ-Gemini++ 1","Micro-Space Inc","Company","US","0.12 kg","x_cancelled","cancelled","cancelled","Space Technology"
"1252","PQ-Gemini++ 2","Micro-Space Inc","Company","US","0.12 kg","x_cancelled","cancelled","cancelled","Space Technology"
"1253","PQ-Gemini++ 3","Micro-Space Inc","Company","US","0.12 kg","x_cancelled","cancelled","cancelled","Space Technology"
"1254","PQ-Gemini++ 4","Micro-Space Inc","Company","US","0.12 kg","x_cancelled","cancelled","cancelled","Space Technology"
"1255","RAMPART (POPACS-RR, RApid prototyped Microelectromechanical system Propulsion And RadiationTest CUBEflow SATellite)","Air Force Research Laboratory","Military","US","2U","x_cancelled","cancelled","cancelled","Space Technology"
"1256","GSat (Genso Test Satellite)","University of Applied Science Technikum-Wien","University","Austria","2U","x_cancelled","-","380 km, 98 degree inclination","-"
"1257","Sallesat-1","La Salle University","University","Spain","1U","x_cancelled","-","not launched","Space Technology"
"1258","SAPTICARD","Laboratoire des technologies Innovantes","University","France","1U","x_cancelled","-","not launched","-"
"1259","SEDSat-2","Students for the Exploration and Development of Space (SEDS)","Non-profit","International","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1260","SMARTSat (Shape Memory Alloy Research Technology Satellite)","Texas A&M University","University","US","1U","x_cancelled","-","not launched","Space Technology"
"1261","Solar Blade","Carnegie Mellon University","University","US","5 kg","x_cancelled","cancelled","cancelled","Space Technology"
"1262","TechEdSat-2","San Jose State University","University","US","6U","x_cancelled","-","not launched","Space Technology"
"1263","Tempo3 (Tethered Expirement for Mars interPlanetary Operations Cubed)","Mars Society","Non-profit","US","2U","x_cancelled","cancelled","cancelled","Space Technology"
"1264","NanoSpace-1","Uppsala University","University","Sweden","7 kg","x_cancelled","-","-","Space Technology"
"1265","T-sat1","University of Manitoba","University","Canada","3U","x_cancelled","cancelled","cancelled","-"
"1266","LunarSail","Aerospace Research & Engineering Systems Institute (Ares Institute)","Non-profit","US","3U","x_cancelled","-","not launched","Space Technology"
"1267","TU Sat 1","Taylor University","University","US","2U","x_cancelled","cancelled","cancelled","Space Technology"
"1268","VELOX-P","Nanyang Technological University","University","Singapore","1U","x_cancelled","-","not launched","Space Technology"
"1269","Yamsat 1A","National Space Program Office","Agency","Taiwan","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1270","Yamsat 1B","National Space Program Office","Agency","Taiwan","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1271","Yamsat 1C","National Space Program Office","Agency","Taiwan","1U","x_cancelled","cancelled","cancelled","Space Technology"
"1272","NUS QB50","National University of Singapore","University","Singapore","2U","x_cancelled","TBD","TBD","Space Science"
"1273","PiezoSat-1","Space Science and Technology Institute","Institute","Lithuania","3U","x_cancelled","TBD","TBD","Space Science"
"1274","MaRBLES (MeAsuring Radiation Belt Low Earth Sources/Sinks)","NASA Goddard Space Flight Center","Agency","US","6U","x_cancelled","-","-","Space Technology"
